episode,total_reward,steps,epsilon,table_size,delivered_units,spoiled_units,deliveries_count,distance
97,-1406.906,200,0.9167,823,2.0,274.0,1,172
98,-1513.7080000000014,200,0.91585,827,0.0,292.0,0,183
99,-1719.112,200,0.915,834,10.0,354.0,1,170
100,-1465.6880000000003,200,0.91415,835,10.0,304.0,2,176
101,-1726.4759999999999,200,0.9133,836,16.0,372.0,3,174
102,-1972.2760000000007,200,0.91245,836,9.0,404.0,3,172
103,-1356.714,200,0.9116,836,0.0,260.0,0,175
104,-2078.006,200,0.91075,839,0.0,406.0,0,173
105,-1785.218,200,0.9099,848,0.0,345.0,0,178
106,-1713.2879999999996,200,0.90905,849,0.0,331.0,0,173
107,-1557.7059999999997,200,0.9082,857,0.0,302.0,0,188
108,-1459.374,200,0.90735,859,13.0,313.0,3,173
109,-948.4700000000001,200,0.9065,862,34.0,255.0,7,175
110,-1816.0800000000002,200,0.90565,862,7.0,369.0,3,177
111,-1761.5740000000008,200,0.9048,873,0.0,339.0,0,181
112,-1574.6999999999991,200,0.90395,874,18.0,345.0,4,181
113,-1538.7139999999995,200,0.9031,876,20.0,341.0,3,180
114,-1141.5099999999998,200,0.90225,878,16.0,256.0,4,181
115,-1678.7760000000005,200,0.9014,880,0.0,324.0,0,177
116,-1777.2940000000003,200,0.90055,882,0.0,345.0,0,174
117,-1501.3360000000005,200,0.8997,887,0.0,289.0,0,181
118,-1524.5960000000005,200,0.89885,891,9.0,313.0,2,174
119,-1024.8019999999995,200,0.898,909,0.0,194.0,0,183
120,-1472.6920000000005,200,0.89715,913,15.0,318.0,2,169
121,-1661.0340000000006,200,0.8963,916,0.0,322.0,0,172
122,-1634.5220000000002,200,0.89545,920,0.0,315.0,0,180
123,-1283.6299999999999,200,0.8946000000000001,921,0.0,246.0,0,178
124,-1616.3540000000007,200,0.89375,922,17.0,351.0,4,183
125,-1199.4740000000002,200,0.8929,924,20.0,273.0,3,171
126,-1698.7720000000008,200,0.89205,925,0.0,329.0,0,185
127,-1635.2880000000002,200,0.8912,931,0.0,316.0,0,177
128,-1159.7679999999998,200,0.89035,931,0.0,221.0,0,179
129,-1501.0259999999998,200,0.8895,933,12.0,317.0,3,182
130,-1241.5879999999997,200,0.8886499999999999,933,24.0,292.0,5,169
131,-1515.7099999999996,200,0.8878,933,10.0,314.0,2,174
132,-1009.6220000000001,200,0.88695,935,18.0,232.0,4,183
133,-1587.9020000000005,200,0.8861,936,20.0,352.0,4,180
134,-1535.2139999999997,200,0.88525,940,0.0,297.0,0,167
135,-1653.3139999999996,200,0.8844,941,7.0,336.0,2,178
