episode,total_reward,steps,epsilon,table_size,delivered_units,spoiled_units,deliveries_count,distance
79,-1801.0759999999996,200,0.9546666666666667,759,9.0,369.0,3,175
80,-1081.3919999999996,200,0.9541,763,11.0,231.0,2,178
81,-1620.264,200,0.9535333333333333,765,7.0,328.0,1,178
82,-1782.2560000000005,200,0.9529666666666666,766,0.0,345.0,0,175
83,-1568.2639999999992,200,0.9524,772,9.0,324.0,3,185
84,-1368.5919999999999,200,0.9518333333333333,772,29.0,329.0,6,179
85,-1177.0240000000003,200,0.9512666666666667,776,21.0,271.0,5,177
86,-1102.6860000000001,200,0.9507,777,12.0,235.0,3,175
87,-1868.0959999999998,200,0.9501333333333334,782,0.0,362.0,0,187
88,-1938.666,200,0.9495666666666667,782,0.0,377.0,0,182
89,-1370.5739999999992,200,0.949,786,0.0,264.0,0,179
90,-1858.2539999999997,200,0.9484333333333334,789,5.0,371.0,2,168
91,-1831.3120000000004,200,0.9478666666666666,789,0.0,356.0,0,175
92,-1621.0999999999992,200,0.9473,792,6.0,326.0,1,177
93,-1437.9919999999997,200,0.9467333333333333,792,0.0,276.0,0,181
94,-847.1840000000003,200,0.9461666666666667,800,31.0,229.0,5,176
95,-1261.524,200,0.9456,800,0.0,242.0,0,178
96,-1367.4660000000003,200,0.9450333333333334,803,12.0,289.0,3,180
97,-1438.5739999999994,200,0.9444666666666667,807,0.0,276.0,0,177
98,-1367.8779999999997,200,0.9439,809,9.0,283.0,2,180
99,-1874.8520000000003,200,0.9433333333333334,812,0.0,364.0,0,177
100,-1465.9879999999996,200,0.9427666666666666,814,10.0,304.0,2,174
101,-1680.7620000000002,200,0.9422,815,19.0,369.0,4,172
102,-1775.3400000000001,200,0.9416333333333333,815,18.0,383.0,4,167
103,-1357.5140000000004,200,0.9410666666666667,815,0.0,260.0,0,183
104,-1810.442,200,0.9405,824,18.0,392.0,3,174
105,-1477.4179999999992,200,0.9399333333333333,832,18.0,327.0,4,178
106,-1714.288,200,0.9393666666666667,832,0.0,331.0,0,183
107,-1297.4339999999995,200,0.9388,847,18.0,290.0,4,173
108,-1415.9679999999996,200,0.9382333333333334,851,13.0,303.0,4,183
109,-1298.5059999999996,200,0.9376666666666666,852,12.0,274.0,2,177
110,-1581.0699999999997,200,0.9371,853,22.0,354.0,3,179
111,-1761.874000000001,200,0.9365333333333333,853,0.0,339.0,0,184
112,-1843.8920000000005,200,0.9359666666666666,857,0.0,358.0,0,180
113,-1857.9939999999997,200,0.9354,859,0.0,361.0,0,178
114,-1265.922,200,0.9348333333333333,862,9.0,263.0,3,178
115,-1369.9979999999994,200,0.9342666666666667,862,23.0,312.0,4,177
116,-1699.2340000000002,200,0.9337,863,5.0,340.0,1,176
117,-1112.4460000000001,200,0.9331333333333334,867,23.0,266.0,5,168
118,-1267.2440000000004,200,0.9325666666666667,872,24.0,298.0,5,172
119,-1023.1019999999995,200,0.9319999999999999,876,0.0,194.0,0,166
120,-1715.2820000000002,200,0.9314333333333333,877,0.0,333.0,0,170
121,-1661.6340000000007,200,0.9308666666666667,881,0.0,322.0,0,178
122,-1356.592,200,0.9303,881,17.0,298.0,4,180
123,-801.1159999999998,200,0.9297333333333333,886,33.0,224.0,6,173
124,-1592.6060000000002,200,0.9291666666666667,886,19.0,349.0,5,172
125,-1526.2380000000007,200,0.9286,890,0.0,294.0,0,182
126,-1250.4200000000003,200,0.9280333333333334,890,25.0,296.0,6,185
127,-1401.3479999999997,200,0.9274666666666667,892,14.0,302.0,3,177
128,-622.686,200,0.9269000000000001,895,33.0,188.0,8,175
129,-1605.394,200,0.9263333333333333,898,6.0,323.0,1,174
130,-1490.744,200,0.9257666666666666,899,11.0,311.0,3,171
131,-1496.4299999999992,200,0.9252,900,11.0,313.0,3,182
132,-1302.5960000000007,200,0.9246333333333333,903,0.0,250.0,0,171
133,-1430.0140000000004,200,0.9240666666666667,905,29.0,343.0,6,177
134,-990.2339999999995,200,0.9235,906,30.0,256.0,8,181
135,-1567.8500000000004,200,0.9229333333333334,906,13.0,331.0,2,170
136,-1321.6619999999998,200,0.9223666666666667,914,25.0,308.0,4,177
137,-1790.9119999999996,200,0.9218,915,15.0,380.0,3,173
138,-1313.47,200,0.9212333333333333,927,11.0,275.0,1,183
139,-1573.8439999999998,200,0.9206666666666666,931,19.0,350.0,4,183
140,-1173.424,200,0.9201,933,0.0,223.0,0,176
141,-1440.5859999999993,200,0.9195333333333333,936,8.0,295.0,1,176
142,-1160.108,200,0.9189666666666667,944,2.0,227.0,1,174
143,-1409.7499999999993,200,0.9184,945,22.0,322.0,6,180
144,-1555.3679999999997,200,0.9178333333333333,954,9.0,319.0,1,173
145,-1267.474,200,0.9172666666666667,960,17.0,280.0,3,171
146,-2057.9759999999997,200,0.9167,961,0.0,401.0,0,178
147,-1929.904,200,0.9161333333333334,962,3.0,382.0,1,171
148,-1351.3660000000002,200,0.9155666666666666,964,37.0,343.0,6,173
149,-1900.5799999999997,200,0.915,965,0.0,369.0,0,175
150,-1328.128,200,0.9144333333333333,967,17.0,294.0,6,178
151,-1355.09,200,0.9138666666666667,970,0.0,259.0,0,185
