episode,total_reward,steps,epsilon,replay_size,mean_loss,delivered_units,spoiled_units,deliveries_count,distance
102,-207.6012,200,0.9158833333333334,20600,0.46358943298459054,0.0,404.0,0,174
103,-121.46260000000002,200,0.9150666666666667,20800,0.5025147653371096,11.0,255.0,2,170
104,-199.66860000000003,200,0.91425,21000,0.4912447562068701,5.0,401.0,2,169
105,-102.47780000000003,200,0.9134333333333333,21200,0.49674184404313565,46.0,296.0,8,180
106,-152.95959999999994,200,0.9126166666666666,21400,0.49821334235370157,11.0,319.0,2,173
107,-138.97380000000004,200,0.9117999999999999,21600,0.520768076479435,9.0,288.0,3,185
108,-163.7522000000001,200,0.9109833333333334,21800,0.49366040974855424,1.0,320.0,1,174
109,-133.58800000000002,200,0.9101666666666667,22000,0.5046536877751351,10.0,276.0,2,177
110,-187.04440000000005,200,0.90935,22200,0.5121386571973562,4.0,372.0,1,174
111,-148.87139999999997,200,0.9085333333333333,22400,0.5257812631875276,18.0,324.0,4,178
112,-168.2212,200,0.9077166666666667,22600,0.511478002667427,10.0,348.0,2,180
113,-173.20620000000002,200,0.9069,22800,0.5126888230443001,8.0,353.0,1,179
114,-132.65740000000005,200,0.9060833333333334,23000,0.5269517088681459,4.0,263.0,2,182
115,-162.22719999999995,200,0.9052666666666667,23200,0.5149226691573858,3.0,319.0,1,182
116,-161.48939999999996,200,0.90445,23400,0.5468536916375161,10.0,335.0,2,168
117,-150.19360000000006,200,0.9036333333333333,23600,0.5215630233287811,0.0,289.0,0,187
118,-138.33340000000004,200,0.9028166666666667,23800,0.5412055265903473,18.0,304.0,3,173
119,-102.37019999999998,200,0.902,24000,0.5273706817626953,0.0,194.0,0,172
120,-171.5982000000001,200,0.9011833333333333,24200,0.5285923999547958,0.0,333.0,0,177
121,-166.0934,200,0.9003666666666666,24400,0.5215324613451958,0.0,322.0,0,171
122,-163.42219999999995,200,0.89955,24600,0.5393767024576664,0.0,315.0,0,177
123,-108.57479999999997,200,0.8987333333333334,24800,0.5477792260050773,11.0,232.0,3,184
124,-122.0296,200,0.8979166666666667,25000,0.52222202219069,41.0,326.0,8,170
125,-108.45699999999994,200,0.8971,25200,0.567630153670907,27.0,267.0,4,180
126,-142.2958000000001,200,0.8962833333333333,25400,0.5479410787671805,15.0,308.0,5,185
127,-160.47840000000002,200,0.8954666666666666,25600,0.5405570524930954,2.0,314.0,1,183
128,-92.11079999999997,200,0.89465,25800,0.5441138043999671,15.0,206.0,3,182
129,-170.14139999999995,200,0.8938333333333334,26000,0.5658246863633394,0.0,329.0,0,185
130,-145.5918,200,0.8930166666666667,26200,0.5628624215722084,11.0,304.0,3,176
131,-167.80699999999993,200,0.8922,26400,0.5660836191475391,0.0,324.0,0,179
132,-130.35960000000003,200,0.8913833333333333,26600,0.5537751212716102,0.0,250.0,0,181
133,-191.34920000000002,200,0.8905666666666667,26800,0.5685436356067658,0.0,372.0,0,172
134,-96.72759999999998,200,0.88975,27000,0.5780523762106895,35.0,262.0,6,176
135,-150.99599999999998,200,0.8889333333333334,27200,0.5647423365712165,16.0,328.0,5,181
