episode,total_reward,steps,epsilon,table_size,delivered_units,spoiled_units,deliveries_count,distance
84,-1777.7640000000008,200,0.92775,749,4.0,353.0,1,177
85,-1389.2299999999996,200,0.9269000000000001,754,7.0,283.0,2,174
86,-1293.2259999999997,200,0.92605,761,0.0,247.0,0,179
87,-1741.8159999999993,200,0.9252,761,8.0,354.0,1,177
88,-1735.3899999999999,200,0.92435,761,13.0,364.0,2,181
89,-1123.004,200,0.9235,768,15.0,249.0,3,184
90,-1925.4620000000002,200,0.92265,770,2.0,378.0,1,176
91,-1669.7320000000004,200,0.9218,771,10.0,346.0,2,176
92,-1582.5160000000012,200,0.92095,773,8.0,324.0,3,168
93,-1180.6920000000007,200,0.9201,778,15.0,261.0,4,176
94,-1164.7040000000002,200,0.91925,787,12.0,248.0,2,184
95,-1162.7279999999996,200,0.9184,789,8.0,240.0,2,171
96,-1444.938,200,0.91755,789,10.0,300.0,1,183
97,-1227.8220000000008,200,0.9167,794,13.0,263.0,2,176
98,-1450.5400000000002,200,0.91585,797,4.0,288.0,2,178
99,-1874.6520000000003,200,0.915,800,0.0,364.0,0,175
100,-1627.6479999999995,200,0.91415,801,0.0,314.0,0,181
101,-1992.1280000000002,200,0.9133,802,0.0,388.0,0,171
102,-1856.478,200,0.91245,802,15.0,394.0,4,174
103,-1031.1339999999998,200,0.9116,803,19.0,241.0,4,172
104,-2015.186,200,0.91075,808,4.0,402.0,1,170
105,-1690.3020000000006,200,0.9099,824,6.0,339.0,1,179
106,-1650.1239999999998,200,0.90905,826,4.0,327.0,1,172
107,-1353.8159999999996,200,0.9082,830,11.0,287.0,3,173
108,-1536.6559999999995,200,0.90735,835,8.0,315.0,1,176
109,-1173.006,200,0.9065,841,20.0,266.0,3,174
110,-1933.8920000000005,200,0.90565,841,0.0,376.0,0,178
111,-1760.9740000000006,200,0.9048,845,0.0,339.0,0,175
112,-1454.3980000000006,200,0.90395,847,23.0,335.0,5,176
113,-1681.0639999999999,200,0.9031,848,13.0,353.0,2,188
114,-1157.945999999999,200,0.90225,849,16.0,256.0,4,182
115,-1678.3760000000007,200,0.9014,850,0.0,324.0,0,173
116,-1421.2860000000005,200,0.90055,850,22.0,323.0,4,177
117,-1501.036,200,0.8997,857,0.0,289.0,0,178
118,-1426.0980000000004,200,0.89885,861,15.0,307.0,4,167
119,-1024.1019999999994,200,0.898,876,0.0,194.0,0,176
