episode,total_reward,steps,epsilon,table_size,delivered_units,spoiled_units,deliveries_count,distance
367,-697.5840000000002,200,0.6872,1279,28.0,192.0,6,174
368,-1532.7960000000005,200,0.68635,1279,12.0,321.0,3,166
369,-1826.8600000000001,200,0.6855,1279,0.0,356.0,0,176
370,-1248.134,200,0.68465,1280,25.0,295.0,4,165
371,-955.4419999999998,200,0.6838,1280,33.0,253.0,6,163
372,-1579.5519999999995,200,0.68295,1280,18.0,347.0,3,179
373,-1325.0079999999998,200,0.6820999999999999,1280,5.0,265.0,1,172
374,-1196.8779999999997,200,0.68125,1284,18.0,268.0,8,180
375,-1510.201999999999,200,0.6804,1284,22.0,342.0,7,178
376,-877.0720000000001,200,0.67955,1284,32.0,238.0,8,170
377,-918.1739999999998,200,0.6787000000000001,1287,36.0,253.0,7,180
378,-1608.7179999999994,200,0.6778500000000001,1287,7.0,326.0,1,178
379,-1605.8359999999998,200,0.677,1287,0.0,310.0,0,169
380,-1908.6939999999995,200,0.67615,1287,7.0,386.0,2,169
381,-1192.7259999999997,200,0.6753,1287,20.0,272.0,4,163
382,-1352.4199999999994,200,0.67445,1287,28.0,324.0,8,174
383,-1183.8319999999999,200,0.6736,1287,22.0,275.0,5,172
384,-1483.6840000000004,200,0.67275,1288,17.0,324.0,2,179
385,-1228.542,200,0.6718999999999999,1288,20.0,278.0,4,172
386,-1483.989999999999,200,0.6710499999999999,1289,8.0,302.0,1,170
387,-1515.5040000000013,200,0.6702,1290,9.0,313.0,3,179
388,-1605.1700000000003,200,0.66935,1290,10.0,332.0,2,175
389,-1938.218,200,0.6685,1300,8.0,395.0,5,180
390,-926.8560000000002,200,0.6676500000000001,1301,25.0,232.0,7,166
391,-1435.8660000000004,200,0.6668000000000001,1302,21.0,323.0,5,187
392,-1903.7659999999994,200,0.66595,1302,0.0,370.0,0,176
393,-1298.1419999999998,200,0.6651,1304,26.0,309.0,5,178
394,-1443.7139999999997,200,0.66425,1304,18.0,318.0,4,178
395,-1235.9839999999997,200,0.6634,1306,15.0,271.0,3,180
396,-1341.6540000000002,200,0.66255,1307,14.0,289.0,3,177
397,-1512.140000000001,200,0.6617,1307,2.0,297.0,1,174
398,-1411.0420000000001,200,0.6608499999999999,1307,20.0,316.0,4,170
399,-1438.3260000000002,200,0.6599999999999999,1308,21.0,326.0,4,171
400,-1416.8140000000005,200,0.65915,1308,0.0,273.0,0,169
401,-1410.2820000000002,200,0.6583,1312,27.0,333.0,5,174
402,-776.5600000000003,200,0.65745,1313,27.0,207.0,13,168
403,-1978.1139999999994,200,0.6566,1314,13.0,414.0,3,182
404,-1351.2660000000003,200,0.65575,1318,27.0,319.0,6,163
405,-1711.9440000000002,200,0.6549,1319,3.0,338.0,1,165
406,-1254.1619999999996,200,0.65405,1319,15.0,273.0,3,166
