episode,total_reward,steps,epsilon,replay_size,mean_loss,delivered_units,spoiled_units,deliveries_count,distance
107,-68.83619999999998,200,0.02,21600,0.6029235834628344,38.0,213.0,21,148
108,-92.31219999999998,200,0.02,21800,0.6470451248437166,33.0,247.0,13,151
109,-80.90939999999998,200,0.02,22000,0.6061412855237722,39.0,239.0,10,137
110,-120.7358,200,0.02,22200,0.6204286409914493,43.0,327.0,11,157
111,-63.32299999999999,200,0.02,22400,0.6308961337059736,68.0,271.0,15,150
112,-117.36880000000001,200,0.02,22600,0.6309757432341576,38.0,310.0,10,164
113,-132.89120000000008,200,0.02,22800,0.6168350557982921,30.0,320.0,7,143
114,-52.82940000000001,200,0.02,23000,0.6232301861047744,48.0,205.0,12,137
115,-66.6844,200,0.02,23200,0.6392808078229427,55.0,246.0,19,171
116,-79.6566,200,0.02,23400,0.6513918314874172,57.0,280.0,14,142
117,-33.233599999999996,200,0.02,23600,0.6658218912035226,66.0,207.0,18,144
118,-127.70919999999995,200,0.02,23800,0.6647543161362409,24.0,298.0,7,155
119,-65.1708,200,0.02,24000,0.6490801598876714,22.0,172.0,5,132
120,-82.54780000000007,200,0.02,24200,0.691428514495492,41.0,245.0,17,170
121,-121.95539999999995,200,0.02,24400,0.6346893538534641,27.0,295.0,7,129
122,-56.057199999999995,200,0.02,24600,0.6478617004305124,58.0,229.0,14,168
123,-25.56299999999998,200,0.02,24800,0.6507153958082199,57.0,170.0,20,175
124,-85.16539999999999,200,0.02,25000,0.6155053786188364,56.0,284.0,17,164
125,-42.6054,200,0.02,25200,0.6992958793789148,61.0,213.0,15,153
126,-40.51999999999999,200,0.02,25400,0.668633090853691,63.0,210.0,26,152
127,-120.59759999999997,200,0.02,25600,0.6857958146929741,32.0,301.0,6,123
128,13.38700000000001,200,0.02,25800,0.6723534153401851,80.0,143.0,16,149
129,-61.454599999999985,200,0.02,26000,0.663279130756855,56.0,235.0,23,160
130,-59.19579999999999,200,0.02,26200,0.6572123216837644,57.0,243.0,19,137
131,-95.36680000000001,200,0.02,26400,0.6613760769367218,43.0,276.0,11,135
132,-52.3338,200,0.02,26600,0.6569852308183909,39.0,181.0,11,157
133,-73.99299999999998,200,0.02,26800,0.6538582576066255,66.0,282.0,17,142
134,-82.1098,200,0.02,27000,0.6740702106803655,37.0,236.0,14,166
135,-48.61039999999999,200,0.02,27200,0.6754949851334096,77.0,257.0,17,173
136,-39.60419999999996,200,0.02,27400,0.6753532718122005,70.0,223.0,22,156
137,-127.52300000000002,200,0.02,27600,0.6648985194414854,44.0,343.0,11,155
138,-17.128399999999978,200,0.02,27800,0.6774505908042192,73.0,186.0,22,170
139,-79.29159999999995,200,0.02,28000,0.7082591050863266,64.0,294.0,17,173
140,-10.036799999999984,200,0.02,28200,0.6854619774967432,64.0,150.0,14,145
141,-21.964000000000013,200,0.02,28400,0.6900101629644633,76.0,202.0,25,157
142,-52.212999999999994,200,0.02,28600,0.6969632520526647,33.0,167.0,15,155
143,-56.53459999999998,200,0.02,28800,0.7025675041228533,70.0,261.0,16,133
144,-36.21359999999998,200,0.02,29000,0.6642421445995569,87.0,260.0,17,157
145,-101.0768,200,0.02,29200,0.6884774012863636,29.0,258.0,8,146
146,-99.08180000000003,200,0.02,29400,0.7041998003423214,51.0,297.0,16,148
147,-120.17560000000002,200,0.02,29600,0.6903727199882269,36.0,313.0,15,137
148,-113.53320000000002,200,0.02,29800,0.6855211713910103,47.0,324.0,13,136
149,-47.30319999999998,200,0.02,30000,0.6778862446546554,66.0,229.0,26,149
