episode,total_reward,steps,epsilon,replay_size,mean_loss,delivered_units,spoiled_units,deliveries_count,distance
60,-1212.8200000000002,200,0.4205,12200,6.82019609451294,36.0,315.0,12,151
61,-1051.0539999999996,200,0.41100000000000003,12400,6.723118488788605,42.0,293.0,9,172
62,-881.3039999999999,200,0.4015000000000001,12600,6.663810991048813,24.0,219.0,6,156
63,-1430.4940000000008,200,0.392,12800,6.491823748350144,24.0,332.0,6,168
64,-900.2840000000002,200,0.38250000000000006,13000,6.780662653446197,34.0,243.0,5,173
65,-1409.0880000000002,200,0.373,13200,6.740961833000183,31.0,341.0,6,161
66,-1099.668,200,0.36350000000000005,13400,6.613139301538467,36.0,294.0,9,172
67,-882.1740000000003,200,0.354,13600,6.562255588769912,42.0,260.0,12,156
68,-1333.1379999999995,200,0.34450000000000003,13800,6.668460754156112,33.0,331.0,8,159
69,-826.7219999999998,200,0.3350000000000001,14000,6.638340574502945,30.0,225.0,8,166
70,-1073.1979999999999,200,0.3255,14200,6.679197292327881,33.0,280.0,14,175
71,-1092.0419999999997,200,0.31600000000000006,14400,6.83970340847969,49.0,320.0,9,173
72,-782.6380000000005,200,0.3065,14600,6.847871700525284,41.0,234.0,12,150
73,-1212.242,200,0.29700000000000004,14800,6.6377935421466825,17.0,270.0,4,149
74,-985.0079999999995,200,0.2875000000000001,15000,6.816053808927536,22.0,237.0,6,143
75,-1347.3720000000003,200,0.278,15200,6.850457180738449,20.0,306.0,5,153
76,-615.3520000000001,200,0.26850000000000007,15400,6.653378125429153,50.0,224.0,10,165
77,-1253.5700000000004,200,0.259,15600,6.865917311906815,25.0,297.0,5,164
78,-1108.7019999999995,200,0.24950000000000006,15800,6.7640500366687775,30.0,280.0,8,158
79,-1198.4480000000003,200,0.24,16000,6.968226500749588,46.0,331.0,12,130
80,-690.906,200,0.23050000000000004,16200,6.908284639120102,30.0,196.0,10,158
81,-1358.4620000000002,200,0.22100000000000009,16400,6.825496708154678,26.0,317.0,3,176
82,-1176.09,200,0.21150000000000002,16600,6.614695286750793,35.0,306.0,9,134
83,-1330.8339999999998,200,0.20200000000000007,16800,6.66635095834732,27.0,315.0,4,161
84,-1302.5980000000004,200,0.1925,17000,6.705974216461182,27.0,311.0,11,153
85,-765.7919999999999,200,0.18300000000000005,17200,7.011343241930008,51.0,258.0,9,160
86,-921.5100000000002,200,0.1735,17400,6.868913054466248,24.0,227.0,4,127
87,-1366.1680000000003,200,0.16400000000000003,17600,7.09452020406723,31.0,330.0,6,147
88,-1232.522,200,0.15450000000000008,17800,6.604890697598457,43.0,337.0,9,128
89,-737.81,200,0.14500000000000002,18000,6.876604852676391,29.0,201.0,8,138
90,-1726.7580000000007,200,0.13550000000000006,18200,6.7393598461151125,13.0,365.0,4,128
91,-1148.258,200,0.126,18400,6.853636174201966,27.0,279.0,14,149
92,-1025.0339999999999,200,0.11650000000000005,18600,6.81730171918869,36.0,275.0,11,154
93,-837.6260000000004,200,0.1070000000000001,18800,7.138540333509445,42.0,249.0,7,139
94,-317.0639999999997,200,0.09750000000000003,19000,6.780111347436905,58.0,182.0,15,156
95,-570.75,200,0.08800000000000008,19200,7.019695171117783,32.0,179.0,15,135
96,-1266.0240000000003,200,0.07850000000000001,19400,6.902046321630478,16.0,278.0,7,112
97,-1357.5439999999999,200,0.06900000000000006,19600,6.7774818694591525,5.0,271.0,1,150
98,-1113.064,200,0.0595,19800,6.804046802520752,20.0,258.0,6,138
99,-1295.3420000000003,200,0.05,20000,6.911540874242783,31.0,317.0,8,144
100,-953.2040000000003,200,0.05,20200,6.821878211498261,31.0,248.0,11,138
101,-1199.678,200,0.05,20400,6.762919538021087,45.0,331.0,13,145
102,-1481.8780000000002,200,0.05,20600,6.868927818536759,32.0,359.0,12,147
103,-581.0439999999999,200,0.05,20800,6.616372237205505,44.0,201.0,12,171
104,-1310.3299999999995,200,0.05,21000,7.2483589971065525,39.0,338.0,12,175
105,-903.2639999999996,200,0.05,21200,7.0451182985305785,44.0,263.0,11,143
106,-512.3140000000004,200,0.05,21400,6.969751722812653,72.0,251.0,20,156
107,-986.6959999999997,200,0.05,21600,6.634406269788742,23.0,240.0,15,121
108,-943.6379999999996,200,0.05,21800,6.908066389560699,45.0,285.0,9,134
109,-1081.0899999999997,200,0.05,22000,6.661915798187255,25.0,261.0,4,146
110,-1698.2200000000007,200,0.05,22200,6.75278263926506,14.0,362.0,3,152
111,-686.3100000000003,200,0.05,22400,6.879524269104004,65.0,279.0,15,154
112,-1750.2400000000005,200,0.05,22600,6.8839501130580905,6.0,352.0,1,152
113,-1179.3219999999997,200,0.05,22800,6.544429570436478,38.0,311.0,8,159
114,-391.2759999999996,200,0.05,23000,7.138678537607193,61.0,211.0,13,156
115,-929.4579999999999,200,0.05,23200,6.9363915526866915,50.0,285.0,9,128
